,0
0,100
1,110
2,15
3,15
4,14
5,12
6,100
7,12
8,12
9,9
10,12
11,12
12,5
13,5
14,4
15,3
16,5
17,5
18,5
19,3
20,4
21,3
22,1
23,2
24,3
25,5
26,4
27,4
28,7
29,5
30,4
31,5
32,4
33,6
34,3
35,100
